Business Name,Industry,Phone,Website,Address,Rating,Reviews,Score,City,Status
"Austin Dental Center, PC",Dental,(512) 233-6645,https://smileaustin.com,"2304 Hancock Dr #1, Austin, TX 78756",4.8,153,9,"Austin, TX",New
Breeze Dental,Dental,(512) 745-8825,https://breezeoralcare.com,"1601 S Lamar Blvd, Austin, TX 78704",4.8,855,9,"Austin, TX",New
myDental at Tech Ridge,Dental,(512) 815-2524,https://mydental.co,,4.8,1495,9,"Austin, TX",New
ATX Family Dental,Dental,,https://atxfamilydental.com,,4.9,873,8,"Austin, TX",New
Austin Dental Works,Dental,,https://austindentalworks.com,,4.9,626,8,"Austin, TX",New
River Rock Dental Austin - Mueller,Dental,(512) 669-5147,https://recallmax.com,"1601 E 7th St, Austin, TX 78702",4.7,745,9,"Austin, TX",New
Aloha Dental,Dental,(512) 707-7300,https://aloha-dental.com,,4.6,666,9,"Austin, TX",New
